title,department,location,posting_date,remote,region,url
"Software Engineer, Site Reliability (SRE)",Engineering,"San Francisco, CA",2025-10-21T16:14:19.273+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/3914e14a-2339-4d49-97e8-3a0de793cfb1
"Engineering Manager, Agent",Engineering,"New York, NY",2025-10-21T23:07:14.241+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/2dee25a0-a0c1-425e-b67a-9d49fc821369
"Strategist, Agent Development",Product,"New York, NY",2025-10-21T23:41:13.663+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/265d033a-381c-46f0-8dfe-7e5d1b46d38d
"Strategist, Agent Development (Spanish speaking)",Product,Madrid,2025-10-24T15:07:32.473+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/8d46d44c-8294-4807-a6b1-5087f0506a38
"Strategist, Agent Development (French speaking)",Product,Paris,2025-10-24T15:05:41.371+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/b1fc320b-d0d2-4ca5-9ce3-2ce8f51cf70e
"Strategist, Agent Development (Spanish speaking)",Product,London,2025-10-22T22:56:13.236+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/3437596e-e545-42a9-af82-9947fabf828c
"Strategist, Agent Development (French speaking)",Product,London,2025-10-22T22:56:08.948+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ed38b1c1-2862-4e40-9894-3c6f20f7a785
Sales Compensation ,Operations,"San Francisco, CA",2025-10-27T19:03:04.806+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/15d594c2-9607-4cdf-addf-ac2dee035d31
"Product Manager, Agent Development",Product,Singapore,2025-11-03T20:53:24.185+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/dc443fd1-14bd-493c-9397-c3713c78321c
IT Operations Lead,IT,"San Francisco, CA",2025-12-19T17:56:34.333+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a82b0074-f31c-4171-a261-953f9451204b
"Software Engineer, Agent",Engineering,Madrid,2025-12-05T10:55:00.657+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/df431e56-56f5-42ed-bc62-7d6f7041bd27
Recruiting Coordinator (Contract),Operations,"New York, NY",2025-11-10T18:56:40.182+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/0d7b5587-7f71-4770-834e-cde7085ca6ac
